run_id,arc_type,bias_estimated,drag,srp,earth_spherical_harmonics,passes_used,rms_residual_mps,rms_3d_km,rms_R_km,rms_S_km,rms_W_km
baseline_per_pass_full_model,per_pass,True,True,True,True,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",6.51730813243511,62.355079002235,23.44413886391243,57.77002781759273,1.0733667868549115
bias_off_per_pass,per_pass,False,True,True,True,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",28.1995232961892,3133.9622106012075,754.1632147025462,3041.784419433254,22.46171763316609
per_pass_full_model,per_pass,True,True,True,True,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",6.517308104827065,62.35507899673119,23.44413886223052,57.77002781233449,1.0733667868626788
per_day_full_model,per_day,True,True,True,True,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",7.725636756584441,86.0098573872636,6.586436641835319,82.86688800235765,22.07698559462377
per_3_days_full_model,per_3_days,True,True,True,True,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",15.790106856789514,75.80055606882685,12.383564301547478,28.357685335281268,69.19691696859026
no_drag,per_pass,True,False,True,True,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",6.492423156880507,60.46508663461213,22.41412002643565,56.1544550958432,0.5577616521561365
no_srp,per_pass,True,True,False,True,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",6.517334069686147,62.33016014838658,23.4332974581726,57.74754600120863,1.0725507906922085
all_passes,per_pass,True,True,True,True,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",6.517308104827065,62.35507899673119,23.44413886223052,57.77002781233449,1.0733667868626788
bad_passes_removed,per_pass,True,True,True,True,"[0, 1, 2, 4, 6, 9, 10, 11]",4.381715268000801,62.35507897586676,23.44413885488081,57.77002779280441,1.073366786450329
best_single_pass,per_pass,True,True,True,True,[0],3.406448032128085,62.35507899236337,23.444138860980328,57.77002780813154,1.0733667866370828
